ideCadastro;Nome_deputado;Partido;UF;cat_cargo_titusup
204524;Pinheirinho;PP;MG;Titular
73486;Pompeo de Mattos;PDT;RS;Titular
160601;Pr. Marco Feliciano;PL;SP;Titular
220533;Prof. Reginaldo Veras;PV;DF;Titular
204390;Professor Alcides;PL;GO;Titular
220580;Professora Goreth;PDT;AP;Titular
220586;Rafael Brito;MDB;AL;Titular
220532;Rafael Prudente;MDB;DF;Titular
220626;Rafael Simoes;UNIÃO;MG;Titular
204567;Raimundo Costa;PODE;BA;Titular
74084;Raimundo Santos;PSD;PA;Titular
74161;Reginaldo Lopes;PT;MG;Titular
220606;Reimont;PT;RJ;Titular
178989;Renata Abreu;PODE;SP;Titular
153423;Renilce Nicodemos;MDB;PA;Titular
73801;Renildo Calheiros;PCdoB;PE;Titular
220543;Ricardo Ayres;REPUBLICANOS;TO;Titular
73788;Ricardo Barros;PP;PR;Titular
204362;Ricardo Guidi;PL;SC;Titular
220694;Ricardo Maia;MDB;BA;Titular
220633;Ricardo Salles;NOVO;SP;Titular
213274;Ricardo Silva;PSD;SP;Titular
204489;Robério Monteiro;PDT;CE;Titular
220693;Roberta Roma;PL;BA;Titular
220588;Roberto Duarte;REPUBLICANOS;AC;Titular
220613;Roberto Monteiro Pai;PL;RJ;Titular
220624;Robinson Faria;PP;RN;Titular
220546;Rodolfo Nogueira;PL;MS;Titular
141531;Rodrigo de Castro;UNIÃO;MG;Titular
220641;Rodrigo Gambale;PODE;SP;Titular
165470;Rodrigo Valadares;UNIÃO;SE;Titular
220695;Rogéria Santos;REPUBLICANOS;BA;Titular
204480;Rogério Correia;PT;MG;Titular
160629;Romero Rodrigues;PODE;PB;Titular
204525;Rosana Valle;PL;SP;Titular
178945;Rosangela Gomes;REPUBLICANOS;RJ;Titular
220644;Rosangela Moro;UNIÃO;SP;Titular
220620;Rosângela Reis;PL;MG;Titular
73806;Roseana Sarney;MDB;MA;Titular
74371;Rubens Otoni;PT;GO;Titular
178887;Rubens Pereira Júnior;PT;MA;Titular
73604;Rui Falcão;PT;SP;Titular
160635;Ruy Carneiro;PODE;PB;Titular
204535;Sâmia Bomfim;PSOL;SP;Titular
220631;Samuel Viana;REPUBLICANOS;MG;Titular
204416;Sanderson;PL;RS;Titular
160621;Sandro Alex;PSD;PR;Titular
204387;Sargento Fahur;PSD;PR;Titular
220621;Sargento Gonçalves;PL;RN;Titular
220618;Sargento Portugal;PODE;RJ;Titular
220713;Saullo Vianna;UNIÃO;AM;Titular
73808;Sérgio Brito;PSD;BA;Titular
178933;Sergio Souza;MDB;PR;Titular
204557;Sidney Leite;PSD;AM;Titular
74356;Silas Câmara;REPUBLICANOS;AM;Titular
204360;Silvia Cristina;PP;RO;Titular
220579;Silvia Waiãpi;PL;AP;Titular
204425;Silvio Costa Filho;REPUBLICANOS;PE;Titular
220569;Silvye Alves;UNIÃO;GO;Titular
220651;Simone Marquetto;MDB;SP;Titular
104552;Socorro Neri;PP;AC;Titular
220643;Sônia Guajajara;PSOL;SP;Titular
220575;Sonize Barbosa;PL;AP;Titular
178946;Soraya Santos;PL;RJ;Titular
178947;Sóstenes Cavalcante;PL;RJ;Titular
92776;Stefano Aguiar;PSD;MG;Titular
204534;Tabata Amaral;PSB;SP;Titular
220682;Tadeu Veneri;PT;PR;Titular
204464;Talíria Petrone;PSOL;RJ;Titular
220598;Tarcísio Motta;PSOL;RJ;Titular
220560;Thiago de Joaldo;PP;SE;Titular
220597;Thiago Flores;REPUBLICANOS;RO;Titular
220684;Tião Medeiros;PP;PR;Titular
160976;Tiririca;PL;SP;Titular
178934;Toninho Wandscheer;PP;PR;Titular
157130;Túlio Gadêlha;REDE;PE;Titular
160610;Valmir Assunção;PT;BA;Titular
74376;Vander Loubet;PT;MS;Titular
204396;Vermelho;PP;PR;Titular
137070;Vicentinho Júnior;PP;TO;Titular
141555;Vinicius Carvalho;REPUBLICANOS;SP;Titular
160591;Vinicius Gurgel;PL;AP;Titular
178992;Vitor Lippi;PSDB;SP;Titular
91228;Waldemar Oliveira;AVANTE;PE;Titular
160569;Waldenor Pereira;PT;BA;Titular
220601;Washington Quaquá;PT;RJ;Titular
160518;Weliton Prado;SOLIDARIEDADE;MG;Titular
74043;Wellington Roberto;PL;PB;Titular
74044;Wilson Santiago;REPUBLICANOS;PB;Titular
220564;Yandra Moura;UNIÃO;SE;Titular
220660;Yury do Paredão;MDB;CE;Titular
220536;Zé Haroldo Cathedral;PSD;RR;Titular
204559;Zé Neto;PT;BA;Titular
160632;Zé Silva;SOLIDARIEDADE;MG;Titular
220558;Zé Trovão;PL;SC;Titular
204517;Zé Vitor;PL;MG;Titular
160592;Zeca Dirceu;PT;PR;Titular
220592;Zezinho Barbary;PP;AC;Titular
220552;Zucco;PL;RS;Titular
221328;Adilson Barroso;PL;SP;Suplente
178987;Orlando Silva;PCdoB;SP;Suplente
221339;Dr. Benjamim;UNIÃO;MA;Suplente
178966;Geovania de Sá;PSDB;SC;Suplente
73531;Ivan Valente;PSOL;SP;Suplente
221338;Professora Luciene Cavalcante;PSOL;SP;Suplente
221378;Reginete Bispo;PT;RS;Suplente
221329;Ricardo Abrão;UNIÃO;RJ;Suplente
74283;Vicentinho;PT;SP;Suplente
221148;Alfredinho;PT;SP;Suplente
74141;Josias Gomes;PT;BA;Suplente
219585;Marco Brasil;PP;PR;Suplente
205476;Charles Fernandes;PSD;BA;Suplente
222142;Coronel Telhada;PP;SP;Suplente
222429;Luis Carlos Gomes;REPUBLICANOS;RJ;Suplente
204448;Luiz Antonio Corrêa;PP;RJ;Suplente
223128;Rodrigo Estacho;PSD;PR;Suplente
74299;Leônidas Cristino;PDT;CE;Suplente
103758;Luciano Azevedo;PSD;RS;Suplente
89536;Prof. Paulo Fernando;REPUBLICANOS;DF;Suplente
224117;Gabriel Mota;REPUBLICANOS;RR;Suplente
224333;Welter;PT;PR;Suplente
205865;Reinhold Stephanes;PSD;PR;Suplente
138286;Luciano Alves;PSD;PR;Suplente
204433;Marcelo Calero;PSD;RJ;Suplente
143942;Caio Vianna;PSD;RJ;Suplente
225386;Renan Ferreirinha;PSD;RJ;Suplente
217480;Jones Moura;PSD;RJ;Suplente
225727;Flavinha;MDB;MT;Suplente
225730;Enfermeira Ana Paula;PODE;CE;Suplente
73778;Luiz Carlos Hauly;PODE;PR;Suplente
226075;Priscila Costa;PL;CE;Suplente
218086;Ely Santos;REPUBLICANOS;SP;Suplente
226179;Gisela Simona;UNIÃO;MT;Suplente
178909;Hélio Leite;UNIÃO;PA;Suplente
116379;Darci de Matos;PSD;SC;Suplente
226410;Márcio Correa;MDB;GO;Suplente
226553;Eliane Braz;PSD;CE;Suplente
226708;Allan Garcês;PP;MA;Suplente
204422;Ossesio Silva;REPUBLICANOS;PE;Suplente
226837;Saulo Pedroso;PSD;SP;Suplente
163321;Ronaldo Nogueira;REPUBLICANOS;RS;Suplente
227275;Mariana Carvalho;REPUBLICANOS;MA;Suplente
141518;Paulinho da Força;SOLIDARIEDADE;SP;Suplente
128760;Paulo Marinho Jr;PL;MA;Suplente
227310;Silvio Antonio;PL;MA;Suplente
227324;Henrique Júnior;PL;MA;Suplente
227323;Luciano Galego;PL;MA;Suplente
227370;Felipe Saliba;PRD;MG;Suplente
100689;Hildo do Candango;REPUBLICANOS;GO;Suplente
227401;Dr Fabio Rueda;UNIÃO;AC;Suplente
182146;Wolmer Araújo;SOLIDARIEDADE;MA;Suplente
227433;Douglas Viegas;UNIÃO;SP;Suplente
115200;Raniery Paulino;REPUBLICANOS;PB;Suplente
74095;Pauderney Avelino;UNIÃO;AM;Suplente
227660;Nitinho;PSD;SE;Suplente
